langid_label,count,pct_of_corpus
sl,130774,92.74
hr,4506,3.2
bs,2285,1.62
sk,308,0.22
en,278,0.2
cs,228,0.16
eo,217,0.15
it,217,0.15
es,210,0.15
lt,185,0.13
pl,121,0.09
la,109,0.08
zh,108,0.08
jv,87,0.06
ka,77,0.05
id,72,0.05
pt,71,0.05
qu,69,0.05
nl,65,0.05
fr,59,0.04
de,59,0.04
sw,57,0.04
ms,56,0.04
mt,53,0.04
no,49,0.03
eu,47,0.03
sv,43,0.03
et,39,0.03
da,37,0.03
br,37,0.03
lv,37,0.03
hy,36,0.03
pa,34,0.02
se,30,0.02
rw,30,0.02
an,26,0.02
xh,24,0.02
tl,18,0.01
am,18,0.01
hu,18,0.01
is,17,0.01
ht,16,0.01
lb,15,0.01
ro,15,0.01
km,15,0.01
sq,14,0.01
fo,11,0.01
nn,10,0.01
fi,8,0.01
tr,8,0.01
oc,8,0.01
zu,7,0.0
lo,7,0.0
gl,6,0.0
ko,6,0.0
af,6,0.0
mg,6,0.0
vo,5,0.0
ky,5,0.0
wa,5,0.0
mr,5,0.0
ja,3,0.0
nb,3,0.0
ca,3,0.0
ku,2,0.0
si,2,0.0
as,2,0.0
ur,1,0.0
ne,1,0.0
ga,1,0.0
ar,1,0.0
sr,1,0.0
be,1,0.0
bn,1,0.0
cy,1,0.0
hi,1,0.0
