month,posts,unique_authors
2023-08,34,5
2023-09,16,6
2023-10,7,<5
2023-11,10,<5
2023-12,15,8
2024-01,14,5
2024-02,22,5
2024-03,13,<5
2024-04,<5,<5
2024-05,<5,<5
2024-06,<5,<5
2024-07,<5,<5
2024-08,<5,<5
2024-09,<5,<5
2024-10,31,13
2024-11,5984,196
2024-12,7515,217
2025-01,9091,269
2025-02,9569,262
2025-03,9177,264
2025-04,6880,244
2025-05,7255,233
2025-06,7166,222
2025-07,8140,210
2025-08,7508,199
2025-09,7835,205
2025-10,8858,210
2025-11,8627,206
2025-12,7958,201
2026-01,9480,199
2026-02,7752,201
2026-03,9100,208
2026-04,2940,143
